player_id,player_name,country,position,team_id,shirt_number,reason
mexico_andres_guardado,Andrés Guardado,Mexico,Midfielder,mexico,6,incomplete_csv
mexico_rodolfo_cota,Rodolfo Cota,Mexico,Goalkeeper,mexico,15,incomplete_csv
south_africa_ronwen_williams,Ronwen Williams,South Africa,Goalkeeper,south_africa,1,incomplete_csv
south_africa_khuliso_khumalo,Khuliso Khumalo,South Africa,Defender,south_africa,2,incomplete_csv
south_africa_grant_kekana,Grant Kekana,South Africa,Defender,south_africa,3,incomplete_csv
south_africa_themba_zwane,Themba Zwane,South Africa,Midfielder,south_africa,4,incomplete_csv
south_africa_mothobi_mvala,Mothobi Mvala,South Africa,Defender,south_africa,5,incomplete_csv
south_africa_percy_tau,Percy Tau,South Africa,Forward,south_africa,7,incomplete_csv
south_africa_teboho_mokoena,Teboho Mokoena,South Africa,Midfielder,south_africa,8,incomplete_csv
south_africa_evidence_makgopa,Evidence Makgopa,South Africa,Forward,south_africa,9,incomplete_csv
south_africa_zakhele_lepasa,Zakhele Lepasa,South Africa,Forward,south_africa,11,incomplete_csv
south_africa_thapelo_maseko,Thapelo Maseko,South Africa,Forward,south_africa,12,incomplete_csv
south_africa_tebogo_moerane,Tebogo Moerane,South Africa,Midfielder,south_africa,13,incomplete_csv
south_africa_mosa_lebusa,Mosa Lebusa,South Africa,Defender,south_africa,14,incomplete_csv
south_africa_veli_mothwa,Veli Mothwa,South Africa,Goalkeeper,south_africa,15,incomplete_csv
czechia_ondrej_kudela,Ondřej Kúdela,Czechia,Defender,czechia,3,incomplete_csv
czechia_jan_kuchta,Jan Kuchta,Czechia,Forward,czechia,9,incomplete_csv
canada_milan_borjan,Milan Borjan,Canada,Goalkeeper,canada,1,incomplete_csv
canada_lucas_cavallini,Lucas Cavallini,Canada,Forward,canada,14,incomplete_csv
qatar_saad_al_sheeb,Saad Al Sheeb,Qatar,Goalkeeper,qatar,1,incomplete_csv
qatar_jassem_abdulsallan,Jassem Abdulsallan,Qatar,Midfielder,qatar,14,incomplete_csv
qatar_mishal_barsham,Mishal Barsham,Qatar,Goalkeeper,qatar,15,incomplete_csv
bosnia_herzegovina_miralem_pjanic,Miralem Pjanić,Bosnia and Herzegovina,Midfielder,bosnia_herzegovina,4,incomplete_csv
bosnia_herzegovina_stojan_vukanovic,Stojan Vukanović,Bosnia and Herzegovina,Defender,bosnia_herzegovina,5,incomplete_csv
bosnia_herzegovina_amar_kadic,Amar Kadić,Bosnia and Herzegovina,Midfielder,bosnia_herzegovina,8,incomplete_csv
bosnia_herzegovina_elvis_mesic,Elvis Mešić,Bosnia and Herzegovina,Midfielder,bosnia_herzegovina,11,incomplete_csv
bosnia_herzegovina_adrian_leon_bagic,Adrian Leon Bagić,Bosnia and Herzegovina,Defender,bosnia_herzegovina,14,incomplete_csv
brazil_endrick,Endrick,Brazil,Forward,brazil,14,incomplete_csv
morocco_sofiane_boufal,Sofiane Boufal,Morocco,Forward,morocco,10,incomplete_csv
haiti_zachary_brault_guillard,Zachary Brault-Guillard,Haiti,Defender,haiti,4,incomplete_csv
haiti_mondy_prunier,Mondy Prunier,Haiti,Forward,haiti,7,incomplete_csv
haiti_bryan_alceus,Bryan Alceus,Haiti,Midfielder,haiti,8,incomplete_csv
haiti_danley_jean_plooij,Danley Jean Plooij,Haiti,Forward,haiti,9,incomplete_csv
haiti_carnejy_antoine,Carnejy Antoine,Haiti,Forward,haiti,12,incomplete_csv
haiti_steeven_sabbat,Steeven Sabbat,Haiti,Midfielder,haiti,13,incomplete_csv
haiti_martin_experience,Martin Experience,Haiti,Defender,haiti,14,incomplete_csv
haiti_josue_duverger,Josué Duverger,Haiti,Goalkeeper,haiti,15,incomplete_csv
australia_fran_karacic,Fran Karačić,Australia,Defender,australia,2,incomplete_csv
ivory_coast_badra_ali_sangare,Badra Ali Sangaré,Ivory Coast,Goalkeeper,ivory_coast,1,incomplete_csv
ivory_coast_jean_philippe_krasso,Jean-Philippe Krasso,Ivory Coast,Forward,ivory_coast,9,incomplete_csv
ivory_coast_christian_atsu,Christian Atsu,Ivory Coast,Midfielder,ivory_coast,11,incomplete_csv
